full_name,pos,stub,year,game_date,game_num,week_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,fumbles,fumbles_lost,fumbles_forced,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,top_n,reason,sacks,tackles_solo,tackles_assists,tackles_combined,tackles_loss,qb_hits,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td,pass_defended,offense,off_pct,defense,def_pct,special_teams,st_pct,punt,punt_yds,punt_yds_per_punt,punt_blocked,xpm,xpa,xp_perc,fgm,fga,fg_perc,safety_md,unique_id
Marshall Faulk,RB,/players/F/FaulMa00.htm,,176 Games,,,,,,,92-84-0,,2836,12279,4.33,100,1013,767,6875,8.96,36,75.7%,6.79,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,2,18,9.00,0,7,136,830,38,25,0,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall Faulk,,RB,"
Edgerrin James,RB,/players/J/JameEd00.htm,,148 Games,,,,,,,93-55-0,,3028,12246,4.04,80,585,433,3364,7.77,11,74.0%,5.75,,,,,,,,,,,,,,,,5,91,556,39,19,0,1,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Edgerrin James,,RB,"
Jeff Garcia ,QB,/players/G/GarcJe00.htm,,125 Games,,,,,,,61-64-0,,468,2140,4.57,26,1,1,6,6.00,0,100.0%,6.00,2264,3676,61.59,25537,161,83,87.5,181,947,6.95,6.81,,,,,1,26,158,58,24,0,0,-10,0,False,,0.0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Jeff Garcia ,,QB,"
Daunte Culpepper,QB,/players/C/CulpDa00.htm,,105 Games,,,,,,,43-62-0,,514,2652,5.16,34,1,1,0,0.00,0,100.0%,0.00,2016,3199,63.02,24153,149,106,87.8,298,1696,7.55,6.99,,,,,4,34,212,75,33,0,4,-3,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Daunte Culpepper,,QB,"
Eddie George,RB,/players/G/GeorEd00.htm,,141 Games,,,,,,,85-56-0,,2865,10441,3.64,68,359,268,2227,8.31,10,74.7%,6.20,,,,,,,,,,,,,,,,2,78,472,38,22,0,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eddie George,,RB,"
Randy Moss,WR,/players/M/MossRa00.htm,,218 Games,,,,,,,122-95-1,,25,159,6.36,0,1741,982,15292,15.57,156,56.4%,8.78,4,8,50.00,106,2,1,95.8,0,0,13.25,12.63,2,33,16.50,0,4,157,950,13,7,0,0,0,0,False,,0.0,0,1,1,0,0,18,162,9.00,1,1,0,0,2,,,,,,,,,,,,,,,,,,"Randy Moss,,WR,"
Marvin Harrison,WR,/players/H/HarrMa00.htm,,190 Games,,,,,,,118-72-0,,10,28,2.80,0,1790,1102,14580,13.23,128,61.6%,8.15,,,,,,,,,,,,1,3,3.00,0,5,128,778,11,6,0,0,0,0,False,,,,,,,,20,189,9.45,0,,,,,,,,,,,,,,,,,,,,,,"Marvin Harrison,,WR,"
Tony Gonzalez,TE,/players/G/GonzTo00.htm,,270 Games,,,,,,,143-127-0,,2,14,7.00,0,2016,1325,15127,11.42,111,65.7%,7.50,1,1,100.00,40,0,0,118.7,0,0,40.00,40.00,,,,,4,111,674,6,2,0,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tony Gonzalez,,TE,"
Terrell Owens,WR,/players/O/OwenTe00.htm,,219 Games,,,,,,,130-89-0,,39,251,6.44,3,1869,1078,15934,14.78,153,57.7%,8.53,,,,,,,,,,,,5,78,15.60,0,3,156,942,11,7,0,0,0,0,False,,0.0,0,2,2,0,0,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,"Terrell Owens,,WR,"
Rod Smith,WR,/players/S/SmitRo01.htm,,183 Games,,,,,,,118-65-0,,44,348,7.91,1,1408,849,11389,13.41,68,60.3%,8.09,2,5,40.00,86,0,0,87.5,1,11,17.20,17.20,6,93,15.50,0,1,71,428,16,8,0,3,0,1,False,,0.0,1,0,1,0,0,53,647,12.21,1,,,,,,,,,,,,,,,,,,,,,,"Rod Smith,,WR,"
