Year,Week,Home Team,Home Score,Away Team,Away Score,Month,Day,Time
2009,1,PIT,13,TEN,10,9,10,1252585800
2009,1,ATL,19,MIA,7,9,13,1252818000
2009,1,BAL,38,KC,24,9,13,1252818000
2009,1,CAR,10,PHI,38,9,13,1252818000
2009,1,CIN,7,DEN,12,9,13,1252818000
2009,1,CLE,20,MIN,34,9,13,1252818000
2009,1,HOU,7,NYJ,24,9,13,1252818000
2009,1,IND,14,JAC,12,9,13,1252818000
2009,1,NO,45,DET,27,9,13,1252818000
2009,1,TB,21,DAL,34,9,13,1252818000
2009,1,ARI,16,SF,20,9,13,1252829700
2009,1,NYG,23,WAS,17,9,13,1252829700
2009,1,SEA,28,STL,0,9,13,1252829700
2009,1,GB,21,CHI,15,9,13,1252844400
2009,1,NE,25,BUF,24,9,14,1252926000
2009,1,OAK,20,SD,24,9,14,1252937700
2009,2,ATL,28,CAR,20,9,20,1253422800
2009,2,DET,13,MIN,27,9,20,1253422800
2009,2,GB,24,CIN,31,9,20,1253422800
2009,2,JAC,17,ARI,31,9,20,1253422800
2009,2,KC,10,OAK,13,9,20,1253422800
2009,2,NYJ,16,NE,9,9,20,1253422800
2009,2,PHI,22,NO,48,9,20,1253422800
2009,2,TEN,31,HOU,34,9,20,1253422800
2009,2,WAS,9,STL,7,9,20,1253422800
2009,2,BUF,33,TB,20,9,20,1253433900
2009,2,SF,23,SEA,10,9,20,1253433900
2009,2,CHI,17,PIT,14,9,20,1253434500
2009,2,DEN,27,CLE,6,9,20,1253434500
2009,2,SD,26,BAL,31,9,20,1253434500
2009,2,DAL,31,NYG,33,9,20,1253449200
2009,2,MIA,23,IND,27,9,21,1253536200
2009,3,BAL,34,CLE,3,9,27,1254027600
2009,3,CIN,23,PIT,20,9,27,1254039300
2009,3,DET,19,WAS,14,9,27,1254027600
2009,3,HOU,24,JAC,31,9,27,1254027600
2009,3,MIN,27,SF,24,9,27,1254027600
2009,3,NE,26,ATL,10,9,27,1254027600
2009,3,PHI,34,KC,14,9,27,1254027600
2009,3,STL,17,GB,36,9,27,1254027600
2009,3,TB,0,NYG,24,9,27,1254027600
2009,3,BUF,7,NO,27,9,27,1254038700
2009,3,SEA,19,CHI,25,9,27,1254038700
2009,3,NYJ,24,TEN,17,9,27,1254027600
2009,3,OAK,3,DEN,23,9,27,1254039300
2009,3,SD,23,MIA,13,9,27,1254039300
2009,3,ARI,10,IND,31,9,27,1254054000
2009,3,DAL,21,CAR,7,9,28,1254141000
2009,4,CHI,48,DET,24,10,4,1254632400
2009,4,CLE,20,CIN,23,10,4,1254632400
2009,4,HOU,29,OAK,6,10,4,1254632400
2009,4,IND,34,SEA,17,10,4,1254632400
2009,4,JAC,37,TEN,17,10,4,1254632400
2009,4,KC,16,NYG,27,10,4,1254632400
2009,4,NE,27,BAL,21,10,4,1254632400
2009,4,WAS,16,TB,13,10,4,1254632400
2009,4,MIA,38,BUF,10,10,4,1254643500
2009,4,NO,24,NYJ,10,10,4,1254643500
2009,4,DEN,17,DAL,10,10,4,1254644100
2009,4,SF,35,STL,0,10,4,1254644100
2009,4,PIT,38,SD,28,10,4,1254658800
2009,4,MIN,30,GB,23,10,5,1254745800
2009,5,BAL,14,CIN,17,10,11,1255237200
2009,5,BUF,3,CLE,6,10,11,1255237200
2009,5,CAR,20,WAS,17,10,11,1255237200
2009,5,DET,20,PIT,28,10,11,1255237200
2009,5,KC,20,DAL,26,10,11,1255237200
2009,5,NYG,44,OAK,7,10,11,1255237200
2009,5,PHI,33,TB,14,10,11,1255237200
2009,5,STL,10,MIN,38,10,11,1255237200
2009,5,SF,10,ATL,45,10,11,1255248300
2009,5,ARI,28,HOU,21,10,11,1255248900
2009,5,DEN,20,NE,17,10,11,1255248900
2009,5,SEA,41,JAC,0,10,11,1255248900
2009,5,TEN,9,IND,31,10,11,1255263600
2009,5,MIA,31,NYJ,27,10,12,1255350600
2009,6,CIN,17,HOU,28,10,18,1255842000
2009,6,GB,26,DET,0,10,18,1255842000
2009,6,JAC,23,STL,20,10,18,1255842000
2009,6,MIN,33,BAL,31,10,18,1255842000
2009,6,NO,48,NYG,27,10,18,1255842000
2009,6,PIT,27,CLE,14,10,18,1255842000
2009,6,TB,21,CAR,28,10,18,1255842000
2009,6,WAS,6,KC,14,10,18,1255842000
2009,6,OAK,13,PHI,9,10,18,1255853100
2009,6,SEA,3,ARI,27,10,18,1255853100
2009,6,NE,59,TEN,0,10,18,1255853700
2009,6,NYJ,13,BUF,16,10,18,1255853700
2009,6,ATL,21,CHI,14,10,18,1255868400
2009,6,SD,23,DEN,34,10,19,1255955400
2009,7,CIN,45,CHI,10,10,25,1256458500
2009,7,CLE,3,GB,31,10,25,1256446800
2009,7,HOU,24,SF,21,10,25,1256446800
2009,7,KC,7,SD,37,10,25,1256446800
2009,7,PIT,27,MIN,17,10,25,1256446800
2009,7,STL,6,IND,42,10,25,1256446800
2009,7,TB,7,NE,35,10,25,1256446800
2009,7,CAR,9,BUF,20,10,25,1256457900
2009,7,OAK,0,NYJ,38,10,25,1256457900
2009,7,DAL,37,ATL,21,10,25,1256458500
2009,7,MIA,34,NO,46,10,25,1256458500
2009,7,NYG,17,ARI,24,10,25,1256473200
2009,7,WAS,17,PHI,27,10,26,1256560200
2009,8,BAL,30,DEN,7,11,1,1257051600
2009,8,BUF,10,HOU,31,11,1,1257051600
2009,8,CHI,30,CLE,6,11,1,1257051600
2009,8,DAL,38,SEA,17,11,1,1257051600
2009,8,DET,10,STL,17,11,1,1257051600
2009,8,GB,26,MIN,38,11,1,1257066900
2009,8,IND,18,SF,14,11,1,1257051600
2009,8,NYJ,25,MIA,30,11,1,1257051600
2009,8,SD,24,OAK,16,11,1,1257066300
2009,8,TEN,30,JAC,13,11,1,1257066300
2009,8,ARI,21,CAR,34,11,1,1257066900
2009,8,PHI,40,NYG,17,11,1,1257051600
2009,8,NO,35,ATL,27,11,2,1257168600
2009,9,ATL,31,WAS,17,11,8,1257660000
2009,9,CHI,21,ARI,41,11,8,1257660000
2009,9,CIN,17,BAL,7,11,8,1257660000
2009,9,IND,20,HOU,17,11,8,1257660000
2009,9,JAC,24,KC,21,11,8,1257660000
2009,9,NE,27,MIA,17,11,8,1257660000
2009,9,TB,38,GB,28,11,8,1257660000
2009,9,NO,30,CAR,20,11,8,1257671100
2009,9,SEA,32,DET,20,11,8,1257671100
2009,9,NYG,20,SD,21,11,8,1257671700
2009,9,SF,27,TEN,34,11,8,1257671700
2009,9,PHI,16,DAL,20,11,8,1257686400
2009,9,DEN,10,PIT,28,11,9,1257773400
2009,10,SF,10,CHI,6,11,12,1258032000
2009,10,CAR,28,ATL,19,11,15,1258264800
2009,10,MIA,25,TB,23,11,15,1258264800
2009,10,MIN,27,DET,10,11,15,1258264800
2009,10,NYJ,22,JAC,24,11,15,1258264800
2009,10,PIT,12,CIN,18,11,15,1258264800
2009,10,STL,23,NO,28,11,15,1258264800
2009,10,TEN,41,BUF,17,11,15,1258264800
2009,10,WAS,27,DEN,17,11,15,1258264800
2009,10,OAK,10,KC,16,11,15,1258275900
2009,10,ARI,31,SEA,20,11,15,1258276500
2009,10,GB,17,DAL,7,11,15,1258276500
2009,10,SD,31,PHI,23,11,15,1258276500
2009,10,IND,35,NE,34,11,15,1258291200
2009,10,CLE,0,BAL,16,11,16,1258378200
2009,11,CAR,17,MIA,24,11,19,1258636800
2009,11,BAL,15,IND,17,11,22,1258869600
2009,11,DAL,7,WAS,6,11,22,1258869600
2009,11,DET,38,CLE,37,11,22,1258869600
2009,11,GB,30,SF,24,11,22,1258869600
2009,11,JAC,18,BUF,15,11,22,1258869600
2009,11,KC,27,PIT,24,11,22,1258869600
2009,11,MIN,35,SEA,9,11,22,1258869600
2009,11,NYG,34,ATL,31,11,22,1258869600
2009,11,TB,7,NO,38,11,22,1258869600
2009,11,STL,13,ARI,21,11,22,1258880700
2009,11,DEN,3,SD,32,11,22,1258881300
2009,11,NE,31,NYJ,14,11,22,1258881300
2009,11,OAK,20,CIN,17,11,22,1258881300
2009,11,CHI,20,PHI,24,11,22,1258896000
2009,11,HOU,17,TEN,20,11,23,1258983000
2009,12,DET,12,GB,34,11,26,1259256600
2009,12,DAL,24,OAK,7,11,26,1259226900
2009,12,DEN,26,NYG,6,11,26,1259241600
2009,12,ATL,20,TB,17,11,29,1259474400
2009,12,BUF,31,MIA,14,11,29,1259474400
2009,12,CIN,16,CLE,7,11,29,1259474400
2009,12,HOU,27,IND,35,11,29,1259474400
2009,12,MIN,36,CHI,10,11,29,1259486100
2009,12,NYJ,17,CAR,6,11,29,1259474400
2009,12,PHI,27,WAS,24,11,29,1259474400
2009,12,STL,17,SEA,27,11,29,1259474400
2009,12,TEN,20,ARI,17,11,29,1259486100
2009,12,SD,43,KC,14,11,29,1259485500
2009,12,SF,20,JAC,3,11,29,1259485500
2009,12,BAL,20,PIT,17,11,29,1259500800
2009,12,NO,38,NE,17,11,30,1259587800
2009,13,BUF,13,NYJ,19,12,3,1259846400
2009,13,ATL,7,PHI,34,12,6,1260079200
2009,13,CAR,16,TB,6,12,6,1260079200
2009,13,CHI,17,STL,9,12,6,1260079200
2009,13,CIN,23,DET,13,12,6,1260079200
2009,13,IND,27,TEN,17,12,6,1260079200
2009,13,JAC,23,HOU,18,12,6,1260079200
2009,13,KC,13,DEN,44,12,6,1260079200
2009,13,PIT,24,OAK,27,12,6,1260079200
2009,13,WAS,30,NO,33,12,6,1260079200
2009,13,CLE,23,SD,30,12,6,1260090300
2009,13,ARI,30,MIN,17,12,6,1260105600
2009,13,NYG,31,DAL,24,12,6,1260090900
